created_at,entry_id,field1
2024-05-04 13:33:12 UTC,42,02:00:15 Pastillero encendido.  IP: 192.168.8.70
2024-05-06 11:05:14 UTC,43,02:00:36 Pastillero encendido.  IP: 192.168.50.21
2024-05-06 11:05:30 UTC,44,13:05:29 Telegram de 6464491575 :: Pas.pastilla :: Toma forzada por mensaje Telegram
2024-05-06 11:06:00 UTC,45,13:05:59 Llave RFID 93F2BEB6 :: Posicion 1.00 dispensada
2024-05-06 11:28:38 UTC,46,02:07:05 Pastillero encendido.  IP: 192.168.50.21
2024-05-06 11:32:49 UTC,47,13:32:46 Telegram de 6464491575 :: Pas.on :: Pastillero activado
2024-05-06 11:33:11 UTC,48,13:33:10 Telegram de 6464491575 :: Pas.off :: Pastillero apagado
2024-05-06 11:34:19 UTC,49,02:00:11 Pastillero encendido.  IP: 192.168.50.21
2024-05-06 11:35:53 UTC,50,13:35:51 Telegram de 6464491575 :: Pas.on :: Pastillero activado
2024-05-06 11:36:18 UTC,51,13:36:18 Telegram de 6464491575 :: Pas.pastilla :: Toma forzada por mensaje Telegram
2024-05-06 11:37:01 UTC,52,13:37:01 Llave RFID 93F2BEB6 :: Posicion 1.00 dispensada
2024-05-06 11:37:29 UTC,53,13:37:28 Telegram de 6464491575 :: Pas.off :: Pastillero apagado
2024-05-06 11:39:34 UTC,54,02:00:05 Pastillero encendido.  IP: 192.168.50.21
2024-05-06 11:40:16 UTC,55,02:00:05 Pastillero encendido.  IP: 192.168.50.21
2024-05-06 11:40:33 UTC,56,13:40:33 Telegram de 6464491575 :: Pas.on :: Pastillero activado
2024-05-06 11:41:30 UTC,57,02:00:08 Pastillero encendido.  IP: 192.168.50.21
2024-05-06 11:42:42 UTC,58,13:42:38 Telegram de 6464491575 :: Pas.on :: Pastillero activado
2024-05-06 11:43:05 UTC,59,13:43:04 Telegram de 6464491575 :: Pas.pastilla :: Toma forzada por mensaje Telegram
2024-05-06 11:43:27 UTC,60,13:43:26 Llave RFID 93F2BEB6 :: Posicion 1.00 dispensada
2024-05-06 11:44:34 UTC,61,02:00:05 Pastillero encendido.  IP: 192.168.50.21
2024-05-06 11:44:53 UTC,62,13:44:52 Telegram de 6464491575 :: Pas.on :: Pastillero activado
2024-05-06 11:45:08 UTC,63,13:45:07 Telegram de 6464491575 :: Pas.pastilla :: Toma forzada por mensaje Telegram :: Preparada :: Avisando.
2024-05-06 11:45:32 UTC,64,13:45:31 Llave RFID 93F2BEB6 :: Posicion 1.00 dispensada
2024-05-06 11:46:07 UTC,65,02:00:08 Pastillero encendido.  IP: 192.168.50.21
2024-05-06 11:46:29 UTC,66,13:46:28 Telegram de 6464491575 :: Pas.on :: Pastillero activado
2024-05-06 11:47:03 UTC,67,13:47:03 Llave RFID 93F2BEB6 :: Posicion 1.00 dispensada
2024-05-06 11:48:31 UTC,68,02:00:05 Pastillero encendido.  IP: 192.168.50.21
2024-05-06 11:49:23 UTC,69,13:49:22 Telegram de 6464491575 :: Pas.off :: Pastillero apagado
